:::::END_GAME::::: 2021-07-17 01:41:03,546 - INFO - Arguments parsed
:::::END_GAME::::: 2021-07-17 01:41:04,340 - INFO - URL valid. Trying connect to host
:::::END_GAME::::: 2021-07-17 01:41:04,341 - INFO - Connection established
:::::END_GAME::::: 2021-07-17 01:41:04,342 - INFO - RESPONSE CODE: 200 - STATUS: OK
:::::END_GAME::::: 2021-07-17 01:41:04,342 - INFO - DATA collected sucessfully
:::::END_GAME::::: 2021-07-17 01:41:13,343 - INFO - Arguments parsed
:::::END_GAME::::: 2021-07-17 01:41:14,095 - INFO - URL valid. Trying connect to host
:::::END_GAME::::: 2021-07-17 01:41:14,096 - INFO - Connection established
:::::END_GAME::::: 2021-07-17 01:41:14,096 - INFO - RESPONSE CODE: 200 - STATUS: OK
:::::END_GAME::::: 2021-07-17 01:41:14,097 - INFO - DATA collected sucessfully
:::::END_GAME::::: 2021-07-17 01:41:45,833 - INFO - Arguments parsed
:::::END_GAME::::: 2021-07-17 01:41:46,603 - INFO - URL valid. Trying connect to host
:::::END_GAME::::: 2021-07-17 01:41:46,604 - INFO - Connection established
:::::END_GAME::::: 2021-07-17 01:41:46,605 - INFO - RESPONSE CODE: 200 - STATUS: OK
:::::END_GAME::::: 2021-07-17 01:41:46,605 - INFO - DATA collected sucessfully
:::::END_GAME::::: 2021-07-17 01:42:26,306 - INFO - Arguments parsed
:::::END_GAME::::: 2021-07-17 01:42:26,436 - INFO - URL valid. Trying connect to host
:::::END_GAME::::: 2021-07-17 01:42:26,437 - ERROR - Connection ERROR!
:::::END_GAME::::: 2021-07-17 01:42:54,429 - INFO - Arguments parsed
:::::END_GAME::::: 2021-07-17 01:42:55,197 - INFO - URL valid. Trying connect to host
:::::END_GAME::::: 2021-07-17 01:42:55,198 - INFO - Connection established
:::::END_GAME::::: 2021-07-17 01:42:55,199 - INFO - RESPONSE CODE: 200 - STATUS: OK
:::::END_GAME::::: 2021-07-17 01:42:55,199 - INFO - DATA collected sucessfully
:::::END_GAME::::: 2021-07-17 01:43:27,344 - INFO - Arguments parsed
:::::END_GAME::::: 2021-07-17 01:43:27,482 - INFO - URL valid. Trying connect to host
:::::END_GAME::::: 2021-07-17 01:43:27,482 - ERROR - Connection ERROR!
:::::END_GAME::::: 2021-07-17 01:44:42,322 - INFO - Arguments parsed
:::::END_GAME::::: 2021-07-17 01:44:43,090 - INFO - URL valid. Trying connect to host
:::::END_GAME::::: 2021-07-17 01:44:43,090 - INFO - Connection established
:::::END_GAME::::: 2021-07-17 01:44:43,091 - INFO - RESPONSE CODE: 200 - STATUS: OK
:::::END_GAME::::: 2021-07-17 01:44:43,091 - INFO - DATA collected sucessfully
:::::END_GAME::::: 2021-07-17 01:52:00,789 - INFO - Arguments parsed
:::::END_GAME::::: 2021-07-17 01:52:01,638 - INFO - URL valid. Trying connect to host
:::::END_GAME::::: 2021-07-17 01:52:01,639 - INFO - Connection established
:::::END_GAME::::: 2021-07-17 01:52:01,639 - INFO - RESPONSE CODE: 200 - STATUS: OK
:::::END_GAME::::: 2021-07-17 01:52:01,640 - INFO - DATA collected sucessfully
:::::END_GAME::::: 2021-07-17 01:55:23,895 - INFO - Arguments parsed
:::::END_GAME::::: 2021-07-17 01:55:24,685 - INFO - URL valid. Trying connect to host
:::::END_GAME::::: 2021-07-17 01:55:24,685 - INFO - Connection established
:::::END_GAME::::: 2021-07-17 01:55:24,686 - INFO - RESPONSE CODE: 200 - STATUS: OK
:::::END_GAME::::: 2021-07-17 01:55:24,686 - INFO - DATA collected sucessfully
:::::END_GAME::::: 2021-07-17 01:55:53,878 - INFO - Arguments parsed
:::::END_GAME::::: 2021-07-17 01:55:54,657 - INFO - URL valid. Trying connect to host
:::::END_GAME::::: 2021-07-17 01:55:54,657 - INFO - Connection established
:::::END_GAME::::: 2021-07-17 01:55:54,658 - INFO - RESPONSE CODE: 200 - STATUS: OK
:::::END_GAME::::: 2021-07-17 01:55:54,658 - INFO - DATA collected sucessfully
:::::END_GAME::::: 2021-07-17 01:56:55,612 - INFO - Arguments parsed
:::::END_GAME::::: 2021-07-17 01:56:56,394 - INFO - URL valid. Trying connect to host
:::::END_GAME::::: 2021-07-17 01:56:56,394 - INFO - Connection established
:::::END_GAME::::: 2021-07-17 01:56:56,395 - INFO - RESPONSE CODE: 200 - STATUS: OK
:::::END_GAME::::: 2021-07-17 01:56:56,395 - INFO - DATA collected sucessfully
:::::END_GAME::::: 2021-07-17 01:57:05,674 - INFO - Arguments parsed
:::::END_GAME::::: 2021-07-17 01:57:06,479 - INFO - URL valid. Trying connect to host
:::::END_GAME::::: 2021-07-17 01:57:06,480 - INFO - Connection established
:::::END_GAME::::: 2021-07-17 01:57:06,480 - INFO - RESPONSE CODE: 200 - STATUS: OK
:::::END_GAME::::: 2021-07-17 01:57:06,480 - INFO - DATA collected sucessfully
:::::END_GAME::::: 2021-07-17 01:57:21,851 - INFO - Arguments parsed
:::::END_GAME::::: 2021-07-17 01:57:22,607 - INFO - URL valid. Trying connect to host
:::::END_GAME::::: 2021-07-17 01:57:22,608 - INFO - Connection established
:::::END_GAME::::: 2021-07-17 01:57:22,608 - INFO - RESPONSE CODE: 200 - STATUS: OK
:::::END_GAME::::: 2021-07-17 01:57:22,609 - INFO - DATA collected sucessfully
:::::END_GAME::::: 2021-07-17 01:57:46,001 - INFO - Arguments parsed
:::::END_GAME::::: 2021-07-17 01:57:46,774 - INFO - URL valid. Trying connect to host
:::::END_GAME::::: 2021-07-17 01:57:46,774 - INFO - Connection established
:::::END_GAME::::: 2021-07-17 01:57:46,775 - INFO - RESPONSE CODE: 200 - STATUS: OK
:::::END_GAME::::: 2021-07-17 01:57:46,775 - INFO - DATA collected sucessfully
:::::END_GAME::::: 2021-07-17 01:57:59,210 - INFO - Arguments parsed
:::::END_GAME::::: 2021-07-17 01:57:59,962 - INFO - URL valid. Trying connect to host
:::::END_GAME::::: 2021-07-17 01:57:59,963 - INFO - Connection established
:::::END_GAME::::: 2021-07-17 01:57:59,963 - INFO - RESPONSE CODE: 200 - STATUS: OK
:::::END_GAME::::: 2021-07-17 01:57:59,964 - INFO - DATA collected sucessfully
:::::END_GAME::::: 2021-07-17 02:01:01,450 - INFO - Arguments parsed
:::::END_GAME::::: 2021-07-17 02:01:02,253 - INFO - URL valid. Trying connect to host
:::::END_GAME::::: 2021-07-17 02:01:02,254 - INFO - Connection established
:::::END_GAME::::: 2021-07-17 02:01:02,254 - INFO - RESPONSE CODE: 200 - STATUS: OK
:::::END_GAME::::: 2021-07-17 02:01:02,254 - INFO - DATA collected sucessfully
:::::END_GAME::::: 2021-07-17 02:01:27,375 - INFO - Arguments parsed
:::::END_GAME::::: 2021-07-17 02:01:28,134 - INFO - URL valid. Trying connect to host
:::::END_GAME::::: 2021-07-17 02:01:28,135 - INFO - Connection established
:::::END_GAME::::: 2021-07-17 02:01:28,135 - INFO - RESPONSE CODE: 200 - STATUS: OK
:::::END_GAME::::: 2021-07-17 02:01:28,135 - INFO - DATA collected sucessfully
:::::END_GAME::::: 2021-07-17 02:01:37,228 - INFO - Arguments parsed
